Vendor name,Category,Subcategories,Funding accepted,Contact name,Email,Phone,Website,Location,Address
British Swim School Bay Area,Social Recreation,Swim,ACE FMS,Raquel Rose,Bayareaofficemanager@britishswimschool.com,(650)-502-8986,britishswimschool.com,Millbrae Meadows Swim Club,"1225 Helen Dr, Millbrae, CA 94030"
British Swim School Bay Area,Social Recreation,Swim,ACE FMS,Raquel Rose,Bayareaofficemanager@britishswimschool.com,(650)-502-8986,britishswimschool.com,Aloft Hotel – Millbrae,"401 E Millbrae Ave Millbrae, CA 94030"
British Swim School Bay Area,Social Recreation,Swim,ACE FMS,Raquel Rose,Bayareaofficemanager@britishswimschool.com,(650)-502-8986,britishswimschool.com,Embassy Suites – Burlingame,"150 Anza Blvd Burlingame CA, 94010"
British Swim School Bay Area,Social Recreation,Swim,ACE FMS,Raquel Rose,Bayareaofficemanager@britishswimschool.com,(650)-502-8986,britishswimschool.com,El Cerrito Super - Sport Gym,"10636 San Pablo Ave El Cerrito, CA 94530"
British Swim School Bay Area,Social Recreation,Swim,ACE FMS,Raquel Rose,Bayareaofficemanager@britishswimschool.com,(650)-502-8986,britishswimschool.com,24 Hour Fitness – San Mateo Super Sport,"93 Bovet Road San Mateo, CA 94402"
British Swim School Bay Area,Social Recreation,Swim,ACE FMS,Raquel Rose,Bayareaofficemanager@britishswimschool.com,(650)-502-8986,britishswimschool.com,City Sports Club – Richmond,"4100 Klose Way Richmond, CA 94806"
British Swim School Bay Area,Social Recreation,Swim,ACE FMS,Raquel Rose,Bayareaofficemanager@britishswimschool.com,(650)-502-8986,britishswimschool.com,San Leandro,"567 Floresta Blvd San Leandro, CA 94578"
British Swim School Bay Area,Social Recreation,Swim,ACE FMS,Raquel Rose,Bayareaofficemanager@britishswimschool.com,(650)-502-8986,britishswimschool.com,Hayward,"24727 Amador St Hayward, CA 94544"
British Swim School Bay Area,Social Recreation,Swim,ACE FMS,Raquel Rose,Bayareaofficemanager@britishswimschool.com,(650)-502-8986,britishswimschool.com,24 Hour Fitness – Redwood City,"1050 Broadway Redwood City, CA 94063"
La Petite Baleen,Social Recreation,Swim,ACE FMS,Vanessa Baluyot,accounting@swimlpb.com,(866)-896-3603,swimlpb.com,San Francisco,"933 Mason St, San Francisco, CA 94129"
La Petite Baleen,Social Recreation,Swim,ACE FMS,Vanessa Baluyot,accounting@swimlpb.com,(866)-896-3603,swimlpb.com,Half Moon Bay,"775 Main St, Half Moon Bay, CA 94019"
La Petite Baleen,Social Recreation,Swim,ACE FMS,Vanessa Baluyot,accounting@swimlpb.com,(866)-896-3603,swimlpb.com,San Bruno,"434 San Mateo Ave, San Bruno, CA 94066"
La Petite Baleen,Social Recreation,Swim,ACE FMS,Vanessa Baluyot,accounting@swimlpb.com,(866)-896-3603,swimlpb.com,Redwood City,"60 Fifth Ave, Redwood City, CA 94063"
La Petite Baleen,Social Recreation,Swim,ACE FMS,Vanessa Baluyot,accounting@swimlpb.com,(866)-896-3603,swimlpb.com,Rohnert Park,"Raley’s Towne Centre, 600, Rohnert Park, CA 94928"
Gravity Vault - Marin County,Social Recreation,"Gym, Climbing",ACE FMS,Gravity Vault Indoor Rock Climbing Gym,marin@gravityvault.com,(415)-472-9344,gravityvault.com,"San Rafael, CA","440 Smith Ranch Road San Rafael, CA 94903"
"Touchstone Climbing, Inc",Social Recreation,"Gym, Climbing",ACE FMS,Mark Melvin,ci_staff@touchstoneclimbing.com,(424)-543-3820,touchstoneclimbing.com,Berkeley Ironworks,"800 Potter St, Berkeley, CA 94710"
"Touchstone Climbing, Inc",Social Recreation,"Gym, Climbing",ACE FMS,Mark Melvin,ci_staff@touchstoneclimbing.com,(424)-543-3820,touchstoneclimbing.com,Diablo Rock Gym,"1220 Diamond Way # 140, Concord, CA 94520"
"Touchstone Climbing, Inc",Social Recreation,"Gym, Climbing",ACE FMS,Mark Melvin,ci_staff@touchstoneclimbing.com,(424)-543-3820,touchstoneclimbing.com,Dogpatch Boulders,"2573 3rd St, San Francisco, CA 94107"
"Touchstone Climbing, Inc",Social Recreation,"Gym, Climbing",ACE FMS,Mark Melvin,ci_staff@touchstoneclimbing.com,(424)-543-3820,touchstoneclimbing.com,Great Western Power Company,"520 20th St, Oakland, CA 94612"
"Touchstone Climbing, Inc",Social Recreation,"Gym, Climbing",ACE FMS,Mark Melvin,ci_staff@touchstoneclimbing.com,(424)-543-3820,touchstoneclimbing.com,Hyperion Climbing,"801 Willow St, Redwood City, CA 94063"
"Touchstone Climbing, Inc",Social Recreation,"Gym, Climbing",ACE FMS,Mark Melvin,ci_staff@touchstoneclimbing.com,(424)-543-3820,touchstoneclimbing.com,Mission Cliffs,"2295 Harrison St, San Francisco, CA 94110"
"Touchstone Climbing, Inc",Social Recreation,"Gym, Climbing",ACE FMS,Mark Melvin,ci_staff@touchstoneclimbing.com,(424)-543-3820,touchstoneclimbing.com,Pacific Pipe,"2140 Mandela Pkwy, Oakland, CA 94607"
"Touchstone Climbing, Inc",Social Recreation,"Gym, Climbing",ACE FMS,Mark Melvin,ci_staff@touchstoneclimbing.com,(424)-543-3820,touchstoneclimbing.com,Team Touchstone Training Center,"795 Potter St, Berkeley, CA 94710"
"Touchstone Climbing, Inc",Social Recreation,"Gym, Climbing",ACE FMS,Mark Melvin,ci_staff@touchstoneclimbing.com,(424)-543-3820,touchstoneclimbing.com,The Oaks Climbing,"1875 Solano Ave, Berkeley, CA 94707"
"Touchstone Climbing, Inc",Social Recreation,"Gym, Climbing",ACE FMS,Mark Melvin,ci_staff@touchstoneclimbing.com,(424)-543-3820,touchstoneclimbing.com,The Studio Climbing,"396 S 1st St, San Jose, CA 95113"
Movement Climbing LLC,Social Recreation,"Gym, Climbing, Camp",ACE FMS,Lucas Klein,lucas.klein@movementgyms.com,(650)-591-3030,movementgyms.com,Mountain View,"630 San Antonio Rd, Mountain View, CA 94040"
Movement Climbing LLC,Social Recreation,"Gym, Climbing, Camp",ACE FMS,Lucas Klein,lucas.klein@movementgyms.com,(650)-591-3030,movementgyms.com,Belmont,"100 El Camino Real, Belmont, CA 94002"
Movement Climbing LLC,Social Recreation,"Gym, Climbing, Camp",ACE FMS,Lucas Klein,lucas.klein@movementgyms.com,(650)-591-3030,movementgyms.com,San Francisco,"924 Mason St, San Francisco, CA 94129"
Movement Climbing LLC,Social Recreation,"Gym, Climbing, Camp",ACE FMS,Lucas Klein,lucas.klein@movementgyms.com,(650)-591-3030,movementgyms.com,Santa Clara,"801 Martin Ave, Santa Clara, CA 95050"
Movement Climbing LLC,Social Recreation,"Gym, Climbing, Camp",ACE FMS,Lucas Klein,lucas.klein@movementgyms.com,(650)-591-3030,movementgyms.com,Sunnyvale,"815 Stewart Dr, Sunnyvale, CA 94085"
Bakar Fitness - UCSF,Social Recreation,"Sports, Gym, Group fitness, Swim, Climbing",ACE FMS,Bakar Fitness - UCSF,member.services@ucsf.edu,818-299-4151,https://campuslifeserviceshome.ucsf.edu/fitness-and-recreation/bakar-fitness-center-ucsf-mission-bay,UCSF Mission Bay,"1675 Owens St, San Francisco, CA 94158"
YMCA of Greater San Francisco,Social Recreation,"Camp, Afterschool, Gym, Group fitness, Sports, Swim",ACE FMS,Jennifer Trombley,jtrombley@ymcasf.org,(415)-281-6722,ymcasf.org,Bayview Hunters Point YMCA,"1601 Lane Street, San Francisco CA 94124"
YMCA of Greater San Francisco,Social Recreation,"Camp, Afterschool, Gym, Group fitness, Sports, Swim",ACE FMS,Jennifer Trombley,jtrombley@ymcasf.org,(415)-281-6722,ymcasf.org,Buchanan YMCA,"1530 Buchanan Street, San Francisco CA 94115"
YMCA of Greater San Francisco,Social Recreation,"Camp, Afterschool, Gym, Group fitness, Sports, Youth sports, Swim, Arts",ACE FMS,Jennifer Trombley,jtrombley@ymcasf.org,(415)-281-6722,ymcasf.org,Chinatown YMCA,"855 Sacramento St, San Francisco CA 94108"
YMCA of Greater San Francisco,Social Recreation,"Camp, Afterschool, Gym, Group fitness, Sports",ACE FMS,Jennifer Trombley,jtrombley@ymcasf.org,(415)-281-6722,ymcasf.org,Dogpatch YMCA at Crane Cove,"701 Illinois St, San Francisco CA 94107"
YMCA of Greater San Francisco,Social Recreation,"Camp, Afterschool, Gym, Group fitness, Sports, Swim",ACE FMS,Jennifer Trombley,jtrombley@ymcasf.org,(415)-281-6722,ymcasf.org,Embarcadero YMCA,"169 Steuart Street, San Francisco CA 94105"
YMCA of Greater San Francisco,Social Recreation,"Camp, Afterschool, Gym, Group fitness, Sports, Swim",ACE FMS,Jennifer Trombley,jtrombley@ymcasf.org,(415)-281-6722,ymcasf.org,Marin YMCA,"1500 Los Gamos Drive, San Rafael CA 94903"
YMCA of Greater San Francisco,Social Recreation,"Camp, Afterschool, Gym, Group fitness, Sports",ACE FMS,Jennifer Trombley,jtrombley@ymcasf.org,(415)-281-6722,ymcasf.org,Mission YMCA,"4080 Mission Street, San Francisco CA 94112"
YMCA of Greater San Francisco,Social Recreation,"Camp, Afterschool, Gym, Group fitness, Sports, Swim",ACE FMS,Jennifer Trombley,jtrombley@ymcasf.org,(415)-281-6722,ymcasf.org,Peninsula Family YMCA,"1877 South Grant Street, San Mateo CA 94402"
YMCA of Greater San Francisco,Social Recreation,"Camp, Afterschool, Gym, Group fitness, Sports, Youth sports, Swim",ACE FMS,Jennifer Trombley,jtrombley@ymcasf.org,(415)-281-6722,ymcasf.org,Presidio Community YMCA,"63 Funston Avenue, San Francisco CA 94129"
YMCA of Greater San Francisco,Social Recreation,"Camp, Afterschool, Gym, Group fitness, Sports",ACE FMS,Jennifer Trombley,jtrombley@ymcasf.org,(415)-281-6722,ymcasf.org,Richmond District YMCA,"360 18th Avenue, San Francisco CA 94121"
YMCA of Greater San Francisco,Social Recreation,"Camp, Afterschool, Gym, Group fitness, Sports, Swim",ACE FMS,Jennifer Trombley,jtrombley@ymcasf.org,(415)-281-6722,ymcasf.org,Shih Yu-Lang Central YMCA,"246 Eddy Street, San Francisco CA 94102"
YMCA of Greater San Francisco,Social Recreation,"Camp, Afterschool, Gym, Group fitness, Sports, Youth sports, Swim",ACE FMS,Jennifer Trombley,jtrombley@ymcasf.org,(415)-281-6722,ymcasf.org,Stonestown Family YMCA,"333 Eucalyptus Drive, San Francisco CA 94132"
YMCA of Greater San Francisco,Social Recreation,"Camp, Afterschool, Gym, Group fitness, Sports, Swim",ACE FMS,Jennifer Trombley,jtrombley@ymcasf.org,(415)-281-6722,ymcasf.org,Urban Services YMCA,"1530 Buchanan Street, San Francisco CA 94115"
Equinox Gym (All locations),Social Recreation,"Sports, Gym, Group fitness, Swim",ACE FMS,Gary Khara,gary.khara@equinox.com,(310)-924-6809,equinox.com,Equinox Van Mission,"1560 Mission St, San Francisco, CA 94103"
Equinox Gym (All locations),Social Recreation,"Sports, Gym, Group fitness, Swim",ACE FMS,Gary Khara,gary.khara@equinox.com,(310)-924-6809,equinox.com,Equinox Sports Club San Francisco,"747 Market St, San Francisco, CA 94103"
Equinox Gym (All locations),Social Recreation,"Sports, Gym, Group fitness, Swim",ACE FMS,Gary Khara,gary.khara@equinox.com,(310)-924-6809,equinox.com,Equinox Union Street,"2055 Union St, San Francisco, CA 94123"
Equinox Gym (All locations),Social Recreation,"Sports, Gym, Group fitness, Swim",ACE FMS,Gary Khara,gary.khara@equinox.com,(310)-924-6809,equinox.com,Equinox Pine Street,"301 Pine St, San Francisco, CA 94104"
Equinox Gym (All locations),Social Recreation,"Sports, Gym, Group fitness, Swim",ACE FMS,Gary Khara,gary.khara@equinox.com,(310)-924-6809,equinox.com,Equinox Beale Street,"320 Mission St, San Francisco, CA 94105"
Equinox Gym (All locations),Social Recreation,"Sports, Gym, Group fitness, Swim",ACE FMS,Gary Khara,gary.khara@equinox.com,(310)-924-6809,equinox.com,Equinox Berkeley,"2600 Shattuck Ave., Berkeley, CA 94704"
Equinox Gym (All locations),Social Recreation,"Sports, Gym, Group fitness, Swim",ACE FMS,Gary Khara,gary.khara@equinox.com,(310)-924-6809,equinox.com,Equinox San Mateo,"4 E 4th Ave, San Mateo, CA 94401"
Equinox Gym (All locations),Social Recreation,"Sports, Gym, Group fitness, Swim",ACE FMS,Gary Khara,gary.khara@equinox.com,(310)-924-6809,equinox.com,Equinox San Ramon,"6000 Bollinger Canyon Rd, San Ramon, CA 94583"
Equinox Gym (All locations),Social Recreation,"Sports, Gym, Group fitness, Swim",ACE FMS,Gary Khara,gary.khara@equinox.com,(310)-924-6809,equinox.com,Equinox Palo Alto,"440 Portage Ave, Palo Alto, CA 94306"
City Sports Club,Social Recreation,"Sports, Gym, Group fitness, Swim",ACE FMS,Sam Jun,sam.jun@fitnessintl.com,(949)-866-4258,citysportsfitness.com,San Francisco - 20th Ave.,"3201 20th Ave San Francisco, CA  94132"
City Sports Club,Social Recreation,"Sports, Gym, Group fitness, Swim",ACE FMS,Sam Jun,sam.jun@fitnessintl.com,(949)-866-4258,citysportsfitness.com,Berkeley,"3100 San Pablo Ave # 110 Berkeley, CA  94702"
City Sports Club,Social Recreation,"Sports, Gym, Group fitness, Swim",ACE FMS,Sam Jun,sam.jun@fitnessintl.com,(949)-866-4258,citysportsfitness.com,Richmond - Klose Way,"4100 Klose Way Richmond, CA  94806"
City Sports Club,Social Recreation,"Sports, Gym, Group fitness, Swim",ACE FMS,Sam Jun,sam.jun@fitnessintl.com,(949)-866-4258,citysportsfitness.com,Hayward - Hesperian Blvd.,"24500 Hesperian Blvd Hayward, CA  94545"
City Sports Club,Social Recreation,"Sports, Gym, Group fitness, Swim",ACE FMS,Sam Jun,sam.jun@fitnessintl.com,(949)-866-4258,citysportsfitness.com,Hayward - Foothill Blvd,"22327 Foothill Blvd Hayward, CA  94541"
City Sports Club,Social Recreation,"Sports, Gym, Group fitness, Swim",ACE FMS,Sam Jun,sam.jun@fitnessintl.com,(949)-866-4258,citysportsfitness.com,San Jose - E. Brokaw Rd.,"1045 E Brokaw Rd San Jose, CA  95131"
City Sports Club,Social Recreation,"Sports, Gym, Group fitness, Swim",ACE FMS,Sam Jun,sam.jun@fitnessintl.com,(949)-866-4258,citysportsfitness.com,San Jose - Newhall Dr.,"610 Newhall Drive San Jose, CA  95110"
City Sports Club,Social Recreation,"Sports, Gym, Group fitness, Swim",ACE FMS,Sam Jun,sam.jun@fitnessintl.com,(949)-866-4258,citysportsfitness.com,Sunnyvale - E. Arques Ave.,"1165 E Arques Ave Sunnyvale, CA  94085"
City Sports Club,Social Recreation,"Sports, Gym, Group fitness, Swim",ACE FMS,Sam Jun,sam.jun@fitnessintl.com,(949)-866-4258,citysportsfitness.com,Fremont - Farwell Dr.,"39153 Farwell Drive Fremont, CA  94538"
City Sports Club,Social Recreation,"Sports, Gym, Group fitness, Swim",ACE FMS,Sam Jun,sam.jun@fitnessintl.com,(949)-866-4258,citysportsfitness.com,Mountain View (Signature),"1040 Grant Road, Suite 165 Mountain View, CA  94040"
City Sports Club,Social Recreation,"Sports, Gym, Group fitness, Swim",ACE FMS,Sam Jun,sam.jun@fitnessintl.com,(949)-866-4258,citysportsfitness.com,San Jose - Saratoga Ave (City Sports Club Plus),"1600 Saratoga Ave 46 San Jose, CA  95129"
City Sports Club,Social Recreation,"Sports, Gym, Group fitness, Swim",ACE FMS,Sam Jun,sam.jun@fitnessintl.com,(949)-866-4258,citysportsfitness.com,Almaden,"5155 Cherry Ave San Jose, CA  95118"
City Sports Club,Social Recreation,"Sports, Gym, Group fitness, Swim",ACE FMS,Sam Jun,sam.jun@fitnessintl.com,(949)-866-4258,citysportsfitness.com,San Jose - Monterey Rd,"5502 Monterey Rd #10 San Jose, CA  95138"
Planet Fitness,Social Recreation,"Gym, Group fitness",ACE FMS,Planet Fitness,,(951)-845-0966,planetfitness.com,"San Francisco (Lakeshore), CA","1533 Sloat Blvd, San Francisco, CA 94132-1222"
Planet Fitness,Social Recreation,"Gym, Group fitness",ACE FMS,Planet Fitness,,(951)-845-0966,planetfitness.com,"Daly City, CA","2945 Junipero Serra Blvd, Daly City, CA 94014-2549"
Planet Fitness,Social Recreation,"Gym, Group fitness",ACE FMS,Planet Fitness,,(951)-845-0966,planetfitness.com,"San Francisco, CA","417 Montgomery St, San Francisco, CA 94104"
Planet Fitness,Social Recreation,"Gym, Group fitness",ACE FMS,Planet Fitness,,(951)-845-0966,planetfitness.com,"San Bruno, CA","1150 El Camino Real, Unit 209, San Bruno, CA 94066"
Planet Fitness,Social Recreation,"Gym, Group fitness",ACE FMS,Planet Fitness,,(951)-845-0966,planetfitness.com,"Oakland (Market St), CA","900 Market St, #301, Oakland, CA 94607"
Planet Fitness,Social Recreation,"Gym, Group fitness",ACE FMS,Planet Fitness,,(951)-845-0966,planetfitness.com,"Emeryville, CA","4349 San Pablo Ave, Emeryville, CA 94608"
Planet Fitness,Social Recreation,"Gym, Group fitness",ACE FMS,Planet Fitness,,(951)-845-0966,planetfitness.com,"Oakland (Hegenberger Rd), CA","610 Hegenberger Rd, Oakland, CA 94621"
Planet Fitness,Social Recreation,"Gym, Group fitness",ACE FMS,Planet Fitness,,(951)-845-0966,planetfitness.com,"Oakland, CA","4055 Macarthur Blvd, Oakland, CA 94619-1903"
Planet Fitness,Social Recreation,"Gym, Group fitness",ACE FMS,Planet Fitness,,(951)-845-0966,planetfitness.com,"Richmond, CA","4925 Macdonald Ave, Richmond, CA 94805"
Planet Fitness,Social Recreation,"Gym, Group fitness",ACE FMS,Planet Fitness,,(951)-845-0966,planetfitness.com,"San Mateo, CA","1850 S Norfolk St, San Mateo, CA 94403-1102"
Planet Fitness,Social Recreation,"Gym, Group fitness",ACE FMS,Planet Fitness,,(951)-845-0966,planetfitness.com,"San Pablo, CA","13222 San Pablo Ave, San Pablo, CA 94806"
Planet Fitness,Social Recreation,"Gym, Group fitness",ACE FMS,Planet Fitness,,(951)-845-0966,planetfitness.com,"East Oakland, CA","10715 Macarthur Blvd, Oakland, CA 94605-5257"
Planet Fitness,Social Recreation,"Gym, Group fitness",ACE FMS,Planet Fitness,,(951)-845-0966,planetfitness.com,"Pinole, CA","1570 Fitzgerald Dr, Pinole, CA 94564"
Planet Fitness,Social Recreation,"Gym, Group fitness",ACE FMS,Planet Fitness,,(951)-845-0966,planetfitness.com,"Hayward, CA","214 B Southland Mall Dr, Hayward, CA 94545"
Planet Fitness,Social Recreation,"Gym, Group fitness",ACE FMS,Planet Fitness,,(951)-845-0966,planetfitness.com,"Redwood City, CA","242 Walnut St, Redwood City, CA 94063-1717"
Planet Fitness,Social Recreation,"Gym, Group fitness",ACE FMS,Planet Fitness,,(951)-845-0966,planetfitness.com,"Walnut Creek, CA","1697 Mt Diablo Blvd, Walnut Creek, CA 94596-4517"
Planet Fitness,Social Recreation,"Gym, Group fitness",ACE FMS,Planet Fitness,,(951)-845-0966,planetfitness.com,"Fremont (North), CA","35630 Fremont Blvd, Fremont, CA 94536"
Planet Fitness,Social Recreation,"Gym, Group fitness",ACE FMS,Planet Fitness,,(951)-845-0966,planetfitness.com,"Vallejo (Central), CA","42 Springstowne Ctr, Vallejo, CA 94591-5566"
24 Hour Fitness,Social Recreation,"Gym, Group fitness, Swim",ACE FMS,24 Hr Fitness,,(858)-693-3500,24hourfitness.com,Ocean,"1850 Ocean Avenue San Francisco, CA 94112"
24 Hour Fitness,Social Recreation,"Gym, Group fitness, Swim",ACE FMS,24 Hr Fitness,,(858)-693-3500,24hourfitness.com,Potrero,"1645 Bryant Street San Francisco, CA 94103"
24 Hour Fitness,Social Recreation,"Gym, Group fitness",ACE FMS,24 Hr Fitness,,(858)-693-3500,24hourfitness.com,Van Ness,"1200 Van Ness Avenue San Francisco, CA 94109"
24 Hour Fitness,Social Recreation,"Gym, Group fitness",ACE FMS,24 Hr Fitness,,(858)-693-3500,24hourfitness.com,Sutter-montgomery,"45 Montgomery St. San Francisco, CA 94104"
24 Hour Fitness,Social Recreation,"Gym, Group fitness",ACE FMS,24 Hr Fitness,,(858)-693-3500,24hourfitness.com,Pacifica,"555 Oceana Blvd. Pacifica, CA 94044"
24 Hour Fitness,Social Recreation,"Gym, Group fitness",ACE FMS,24 Hr Fitness,,(858)-693-3500,24hourfitness.com,Millbrae,"979 Broadway Avenue Millbrae, CA 94030"
24 Hour Fitness,Social Recreation,"Sports, Gym, Group fitness, Swim",ACE FMS,24 Hr Fitness,,(858)-693-3500,24hourfitness.com,Oakland High Street,"3950 Alameda Ave. Oakland, CA 94601"
24 Hour Fitness,Social Recreation,"Gym, Group fitness, Swim",ACE FMS,24 Hr Fitness,,(858)-693-3500,24hourfitness.com,El Cerrito,"10636 San Pablo Avenue El Cerrito, CA 94530-2620"
24 Hour Fitness,Social Recreation,"Sports, Gym, Group fitness, Swim",ACE FMS,24 Hr Fitness,,(858)-693-3500,24hourfitness.com,San Mateo Bovet,"93 Bovet Rd San Mateo, CA 94402"
24 Hour Fitness,Social Recreation,"Gym, Group fitness, Swim",ACE FMS,24 Hr Fitness,,(858)-693-3500,24hourfitness.com,Washington,"567 Floresta Boulevard San Leandro, CA 94578"
24 Hour Fitness,Social Recreation,"Sports, Gym, Group fitness, Swim",ACE FMS,24 Hr Fitness,,(858)-693-3500,24hourfitness.com,San Leandro,"304 Bayfair Mall San Leandro, CA 94578"
24 Hour Fitness,Social Recreation,"Gym, Group fitness",ACE FMS,24 Hr Fitness,,(858)-693-3500,24hourfitness.com,Moraga Rheem,"351 Rheem Blvd. Moraga, CA 94556"
Crunch Fitness,Social Recreation,"Gym, Group fitness",ACE FMS,Mingo Dennis,crunchms@crunch.com,(877)-427-4788,www.crunch.com,Chestnut,"2324 Chestnut St San Francisco, CA 94123"
Crunch Fitness,Social Recreation,"Gym, Group fitness",ACE FMS,Mingo Dennis,crunchms@crunch.com,(877)-427-4788,www.crunch.com,Union Street,"1725 Union St San Francisco, CA 94123"
Crunch Fitness,Social Recreation,"Gym, Group fitness",ACE FMS,Mingo Dennis,crunchms@crunch.com,(877)-427-4788,www.crunch.com,Polk St,"2330 Polk St San Francisco, CA 94109"
Crunch Fitness,Social Recreation,"Gym, Group fitness",ACE FMS,Mingo Dennis,crunchms@crunch.com,(877)-427-4788,www.crunch.com,Yerba Buena,"350 Third St San Francisco, CA 94107"
Crunch Fitness,Social Recreation,"Gym, Group fitness",ACE FMS,Mingo Dennis,crunchms@crunch.com,(877)-427-4788,www.crunch.com,"Daly City, CA","60 Serramonte Center Daly City, CA 94015"
Crunch Fitness,Social Recreation,"Gym, Group fitness",ACE FMS,Mingo Dennis,crunchms@crunch.com,(877)-427-4788,www.crunch.com,Alameda,"2247 South Shore Center Alameda, CA 94501"
Crunch Fitness,Social Recreation,"Gym, Group fitness",ACE FMS,Mingo Dennis,crunchms@crunch.com,(877)-427-4788,www.crunch.com,San Rafael,"38 Gary Place San Rafael, CA 94901"
Crunch Fitness,Social Recreation,"Gym, Group fitness",ACE FMS,Mingo Dennis,crunchms@crunch.com,(877)-427-4788,www.crunch.com,San Mateo,"1150 Park Place San Mateo, CA 94403"
Crunch Fitness,Social Recreation,"Gym, Group fitness",ACE FMS,Mingo Dennis,crunchms@crunch.com,(877)-427-4788,www.crunch.com,San Lorenzo,"177 Lewelling Blvd San Lorenzo, CA 94580"
Crunch Fitness,Social Recreation,"Gym, Group fitness",ACE FMS,Mingo Dennis,crunchms@crunch.com,(877)-427-4788,www.crunch.com,"Walnut Creek, CA","2830 Ygnacio Valley Rd Walnut Creek, CA 94598"
Crunch Fitness,Social Recreation,"Gym, Group fitness",ACE FMS,Mingo Dennis,crunchms@crunch.com,(877)-427-4788,www.crunch.com,Sunnyvale,"1651 Hollenbeck Ave Sunnyvale, CA 94087"
Crunch Fitness,Social Recreation,"Gym, Group fitness",ACE FMS,Mingo Dennis,crunchms@crunch.com,(877)-427-4788,www.crunch.com,Fairfield,"1500 Oliver Road Fairfield, CA 94534"
Crunch Fitness,Social Recreation,"Gym, Group fitness",ACE FMS,Mingo Dennis,crunchms@crunch.com,(877)-427-4788,www.crunch.com,Winchester,"1333 South Winchester Blvd San Jose, CA 95128"
Crunch Fitness,Social Recreation,"Gym, Group fitness",ACE FMS,Mingo Dennis,crunchms@crunch.com,(877)-427-4788,www.crunch.com,San Jose,"375A N. Capitol Ave San Jose, CA 95133"
Crunch Fitness,Social Recreation,"Gym, Group fitness",ACE FMS,Mingo Dennis,crunchms@crunch.com,(877)-427-4788,www.crunch.com,Santa Rosa,"1630 Range Ave Santa Rosa, CA 95401"
Peer Play SF,Socialization training,Play group,"GGRC, ACE FMS",Francisco Rocco,info@peerplaysfbay.com,(510)-394-5630,peerplaysfbay.com,"San Francisco, CA",1426 Fillmore St. Suite 317 San Francisco CA
